productID,id,title,body,created_at,rate,likes,dislikes,recommendation_status,is_buyer,user_name,is_anonymous
3493882,43025059,اندروید با کس ,درکل خوبه راضی هستم ,22 آذر 1401,5,1,0,recommended,True,روح الله زیار,False
3493882,42892862,به نظرم تو ای قیمت انتخاب خوبیه,به نظرم تو این قیمت خوبه . نزدیک یک سال میشه که خریدم از جای دیگه البته. و راضی ام. نرم افزار Mx Player رو روش نصب کنید و فیلم های با کیفیت بالا مثل کیفیت   x265 - ۱۰۸۰ رو بدون لگ و هنگ ببینید و لذت ببرید,19 آذر 1401,5,2,1,,False,سید تقی رضوی اصل,False
3493882,42809871,مناسب ال سی دی قدیمی,کیفیتش عالی هست,17 آذر 1401,5,1,0,recommended,True,یاسین فاطمی,False
3493882,42677905,خوبه واقعا,با سلام خدمت دوستان به برای iptvگرفتم کارم رو کامل راه انداخت،هنگ و قطعی هم نداشت یکم کنده که با این رو و سی پی یو طبیعیه نسبت گرافیکی که ارایه میکنه,14 آذر 1401,5,1,0,recommended,True,حبیب الله مهدی زاده,False
3493882,42610370,عالی,مود بودن دستگاه ,12 آذر 1401,4,1,0,,True,محمد زنگنه,False
3493882,42609894,عالی,"خیلی خوبه عاشقش شدم و دایم دورشم
خیلی کاربردی و خوبه
عالی عالی عالی
برای مغازه گرفتم خیلی جواب میده
نمیدونم چرا بعضیا میگن کنترلش کار نمیکنه و هنگ میکنه خیلی عالی جواب میده الکی پولتونو به مدلای گرون تر ندین",14 آذر 1401,5,4,2,recommended,True,کاربر دیجی‌کالا,True
3493882,42600935,از هر نظر عالی,در مقابل هزینه ای که میکنید راضی کننده ست خیلی خوبه ممنونم از دی جی عزیز,12 آذر 1401,5,1,0,,True,ایمان دل افکار,False
3493882,42463864,,اولا گارانتی اش تمام شده بود. کیفیتش هم خوب نبود.خواستم مرجوع کنم. قبول نکردند. مگه شعار شما این نیست که تا یک هفته ضمانت مرجوعی داریم....,13 آذر 1401,1,9,1,not_recommended,True,محمدرضا  خداداد,False
3493882,42323770,خوب بود,خوب بود,9 آذر 1401,4,1,0,recommended,True,سید محمد کاظمی,False
3493882,42287787,ارزش خرید در برابر قیمت,کاملا بابت پولی که پرداخت می کنید راضیتون میکنه ، فقط برای تنظیم تاریخ باید از طریق گوگل کروم این کارو انجام بدید چون تاریخ و ساعتش قابل تغییر نبود و این باعث میشد که مثلا تو فیلم نت نتونی سریال ها رو ببینی ، البته خیلی راحت وقتی گوگل کروم رو باز کنید خودش میگه ساعت و تاریخ رو تنظیم کن که خیلی راحت تنظیم میشه,5 آذر 1401,5,3,0,,True,پدرام احسان ,False
3493882,42275824,خوب ,خوب ,4 آذر 1401,5,1,0,,True,کاربر دیجی‌کالا,True
3493882,42165032,لطفا ب مدل گوشیتون توجه کنید,"برای بار دوم سفارش دادم 
عالیع از هر نظر اما مامان و بابام گوشی سامسونگ سری a. دارن که اصلا ب هیچ وجه قابلیت وصل شدن ب تی وی رو نداره 
فقط هات اسپات میکنن و فیلیمو و بقیه برنامه هارو تماشا میکنن همین 
قیمتشم از بازار ارزون تره 
فقط ی موس هم بگیرین کنترلش خیلی بدرد نخوره",1 آذر 1401,5,1,1,recommended,True,ریحانه  امیری,False
3493882,42086666,عالیه,من خریدمش خوب کارمیکنه دستگاه باحالیه,29 آبان 1401,5,1,0,,True,صدیقه مرادی,False
3493882,42047835,پانا,"سلام
این دستگاه به نسبت پولی که میدی خوبه. وای فای دستگاه ضعیف هست و برای پخش فیلم به صورت وای فای باید گوشی رو نزدیک دستگاه قرار بدید تا انتقال اطلاعات به خوبی انجام بگیره و اگر گوشی دور باشه باعث ایجاد لگ میشه. 
به ظاهر بلوتوث هم داره ولی من نتونستم با بلوتوث کار کنم. 
هم زمان هم میتونید به وای فای دیگران وصل بشد و هم دیگران به وای فای دستگاه وصل بشن. 
برای گوشی سامسونگ وصل نمیشد، نمیدونم مشکل کجا بود. 
دفترچه و کابل hdmi و کنترل رو همراه خودش داره. 
کنترلش کمی گیج میزنه و برای انجام هر کاری باید ۲ ثانیه بعد هر کلیک صبر کنید.",28 آبان 1401,3,2,0,no_idea,True,ابوالفضل شهاب الدین,False
3493882,41855916,مدل r69 بخرید به جای این این اکثر برنامه ها روش نصب نمیشه,برنامه های فیلم دیدن روش نصب نمیشه مزخرفه,1 آذر 1401,1,1,2,not_recommended,True,فرید صادقی مهر,False
3493882,41753488,,شیکه ماهواره ای با اپ قابل دریافت هست,20 آبان 1401,4,2,0,,False,کاربر دیجی‌کالا,True
3493882,41738256,پاناتک ,راضی نبودم مرجوع کردم ,20 آبان 1401,3,1,1,no_idea,True,کاربر دیجی‌کالا,True
3493882,41528137,,عالی,15 آبان 1401,4,1,0,recommended,True,کاربر دیجی‌کالا,True
3493882,41514132,,خوبه نسبت به قیمت,14 آبان 1401,2,0,0,recommended,True,محمدجواد عظیمی,False
